,exam_name,num_exam,avg_correct,avg_total
0,Learning Git,394,3.3807106598984773,5.0
1,Introduction to Python,162,2.8333333333333335,5.0
2,Introduction to Java 8,158,4.379746835443038,5.0
3,Intermediate Python Programming,158,2.050632911392405,4.0
4,Learning to Program with R,128,3.8125,7.0
5,Introduction to Machine Learning,119,2.7478991596638656,4.0
6,Software Architecture Fundamentals Understanding the Basics,109,1.9174311926605505,4.0
7,Beginning C# Programming,95,2.221052631578947,4.0
8,Learning Eclipse,85,3.5294117647058822,5.0
9,Learning Apache Maven,80,2.4375,4.0
10,Beginning Programming with JavaScript,79,3.0632911392405062,4.0
11,Mastering Git,77,2.3506493506493507,4.0
12,Introduction to Big Data,75,2.466666666666667,4.0
13,Advanced Machine Learning,67,2.8955223880597014,4.0
14,Learning Linux System Administration,59,4.440677966101695,8.0
15,JavaScript: The Good Parts Master Class with Douglas Crockford,58,2.6206896551724137,4.0
16,Learning SQL,57,2.9473684210526314,4.0
17,Practical Java Programming,53,2.3773584905660377,4.0
18,HTML5 The Basics,52,3.6346153846153846,6.0
19,Python Epiphanies,51,4.450980392156863,6.0
20,Software Architecture Fundamentals Beyond The Basics,48,1.7708333333333333,3.0
21,Intermediate C# Programming,43,2.2790697674418605,4.0
22,Introduction to Data Science with R,43,3.6511627906976742,7.0
23,Learning DNS,40,2.6,4.0
24,Learning C# Best Practices,35,2.3142857142857145,5.0
25,Expert Data Wrangling with R,35,2.657142857142857,4.0
26,Mastering Advanced Git,34,1.4411764705882353,4.0
27,An Introduction to d3.js: From Scattered to Scatterplot,33,2.3636363636363638,4.0
28,Data Visualization in R with ggplot2,31,1.967741935483871,4.0
29,Python Data Structures,29,2.1724137931034484,4.0
30,Cloud Native Architecture Fundamentals,29,4.0,5.0
31,Introduction to Time Series with Team Apache,28,2.142857142857143,3.0
32,Git Fundamentals for Web Developers,28,0.75,1.0
33,Learning Linux Security,27,2.4814814814814814,4.0
34,Introduction to Shiny,27,2.1481481481481484,4.0
35,Mastering Python - Networking and Security,25,2.96,4.0
36,Learning Java EE 7,25,1.44,3.0
37,Using R for Big Data with Spark,24,1.6666666666666667,3.0
38,Learning C# Design Patterns,23,2.869565217391304,4.0
39,JavaScript Templating,21,2.7142857142857144,4.0
40,TCP/IP,21,2.8095238095238093,5.0
41,Reproducible Research and Reports with R Markdown,21,2.4761904761904763,4.0
42,Learning iPython Notebook,17,2.0,4.0
43,Refactor a Monolithic Architecture into Microservices,17,2.2941176470588234,3.0
44,Cloud Computing With AWS,17,1.7058823529411764,4.0
45,Learning Apache Hadoop,16,3.0625,4.0
46,Networking for People Who Hate Networking,15,1.6666666666666667,3.0
47,"I'm a Software Architect, Now What?",15,2.1333333333333333,4.0
48,Design Patterns in Java,15,2.3333333333333335,5.0
49,Relational Theory for Computer Professionals,15,1.8666666666666667,3.0
50,Introduction to Architecting Amazon Web Services,14,1.6428571428571428,3.0
51,Great Bash,14,6.142857142857143,10.0
52,Working with Algorithms in Python,14,2.857142857142857,4.0
53,Introduction to Apache Kafka,13,2.3076923076923075,3.0
54,Offline Web,13,1.3076923076923077,3.0
55,Learning Data Structures and Algorithms,13,2.0,4.0
56,Introduction to Modern Client-Side Programming,13,2.1538461538461537,4.0
57,Amazon Web Services - Simple Storage Service,12,1.5,3.0
58,Learning Apache Cassandra,12,2.6666666666666665,4.0
59,Amazon Web Services - Virtual Private Cloud,11,2.909090909090909,4.0
60,The Principles of Microservices,11,2.272727272727273,4.0
61,SQL: Beyond the Basics,11,2.5454545454545454,4.0
62,Learning SQL for Oracle,11,3.909090909090909,4.0
63,Being a Better Introvert,10,1.5,3.0
64,Event-Driven Microservices,10,3.3,5.0
65,Arduino Prototyping Basics,10,3.4,5.0
66,Architectural Considerations for Hadoop Applications,10,2.9,5.0
67,Learning Data Modeling,9,2.0,4.0
68,A Practical Introduction to React.js,9,2.3333333333333335,4.0
69,Introduction to Apache Spark,9,3.3333333333333335,4.0
70,Introduction to Hadoop YARN,8,0.75,1.0
71,Nullology,8,0.375,1.0
72,Arduino Inputs,8,3.875,6.0
73,Web & Native Working Together,8,1.25,3.0
74,Introduction to Apache Hive,7,0.5714285714285714,1.0
75,Normal Forms and All That Jazz Master Class,7,2.4285714285714284,4.0
76,Data Science with Microsoft Azure and R,7,2.4285714285714284,4.0
77,Hadoop Fundamentals for Data Scientists,6,1.3333333333333333,2.0
78,Collaborating with Git,6,3.6666666666666665,5.0
79,Introduction to Modern Front-End Development,6,3.5,6.0
80,Introduction to Amazon Web Services (AWS) - EC2 Deployment Fundamentals,6,2.5,3.0
81,Starting a Grails 3 Project,5,3.0,4.0
82,Modeling for Software Architects,5,2.6,4.0
83,An Introduction to Set Theory,5,1.2,2.0
84,Example Exam For Development and Testing oh yeahsdf,5,,
85,View Updating,4,0.25,1.0
86,Using Storytelling to Effectively Communicate Data,4,3.0,4.0
87,Service Based Architectures,3,2.6666666666666665,4.0
88,Building Web Services with Java,3,1.6666666666666667,4.0
89,Mastering Web Views,3,1.6666666666666667,4.0
90,Getting Ready for Angular 2,3,4.0,5.0
91,Using Web Components,3,3.0,6.0
92,Learning Spring Programming,2,2.5,4.0
93,Understanding the Grails 3 Domain Model,2,5.5,7.0
94,Arduino Prototyping Techniques,2,2.0,6.0
95,Hibernate and JPA Fundamentals,2,2.0,4.0
96,The Closed World Assumption,2,2.0,2.0
97,What's New in JavaScript,2,4.5,7.0
98,Client-Side Data Storage for Web Developers,2,1.0,5.0
99,Learning to Visualize Data with D3.js,1,3.0,3.0
100,"Nulls, Three-valued Logic and Missing Information",1,1.0,1.0
101,Native Web Apps for Android,1,1.0,4.0
102,Operating Red Hat Enterprise Linux Servers,1,11.0,20.0
